"method","cr","len","alpha"
"bart_naive",0.9926,3.15447520691549,0.05
"bart_inexact",0.8226,1.42051578264933,0.05
"CQR_inexact_quantRF",0.9814,2.7120472378809,0.05
"CQR_exact_quantRF",0.9998,4.44114984816411,0.05
"CQR_naive_quantRF",1,4.72776991513388,0.05
"CQR_inexact_quantBoosting",0.955,2.22517767944143,0.05
"CQR_exact_quantBoosting",0.9988,3.71520908878096,0.05
"CQR_naive_quantBoosting",0.9958,3.53281866627461,0.05
"CQR_inexact_quantBART",0.8386,1.47496410070384,0.05
"CQR_exact_quantBART",0.9986,3.64436461125499,0.05
"CQR_naive_quantBART",0.9994,4.1015178701946,0.05
"CF",0.175,0.222056625612949,0.05
"xlearner",0.2824,0.36206017609842,0.05
"bart_naive",0.9986,3.27982936650986,0.05
"bart_inexact",0.8704,1.57074901522998,0.05
"CQR_inexact_quantRF",0.9762,2.39248039623697,0.05
"CQR_exact_quantRF",1,4.94083057641341,0.05
"CQR_naive_quantRF",0.9998,3.94712785278616,0.05
"CQR_inexact_quantBoosting",0.9836,2.67154354433533,0.05
"CQR_exact_quantBoosting",1,5.84938396962094,0.05
"CQR_naive_quantBoosting",1,4.13807683270285,0.05
"CQR_inexact_quantBART",0.939,1.93870332170335,0.05
"CQR_exact_quantBART",0.9994,3.4782244750991,0.05
"CQR_naive_quantBART",1,3.96385324306849,0.05
"CF",0.1516,0.193036562336542,0.05
"xlearner",0.2442,0.317409570359577,0.05
"bart_naive",0.9954,3.12036841933531,0.05
"bart_inexact",0.8258,1.38674792168622,0.05
"CQR_inexact_quantRF",0.9864,2.5763718604317,0.05
"CQR_exact_quantRF",1,5.3141944579102,0.05
"CQR_naive_quantRF",1,4.66401381795745,0.05
"CQR_inexact_quantBoosting",0.9606,2.14907707128578,0.05
"CQR_exact_quantBoosting",1,4.54424218987303,0.05
"CQR_naive_quantBoosting",0.9998,4.21839704584153,0.05
"CQR_inexact_quantBART",0.9092,1.73578063382832,0.05
"CQR_exact_quantBART",0.9996,3.6875440800405,0.05
"CQR_naive_quantBART",0.9998,4.12034762269975,0.05
"CF",0.156,0.21641872669316,0.05
"xlearner",0.2264,0.321120077196747,0.05
"bart_naive",0.9974,3.33370401185639,0.05
"bart_inexact",0.8402,1.49965294368972,0.05
"CQR_inexact_quantRF",0.9138,1.82344855903607,0.05
"CQR_exact_quantRF",1,4.62272829082019,0.05
"CQR_naive_quantRF",1,4.64828120961536,0.05
"CQR_inexact_quantBoosting",0.9642,2.30558678190551,0.05
"CQR_exact_quantBoosting",1,4.63633889002582,0.05
"CQR_naive_quantBoosting",1,4.44872774211736,0.05
"CQR_inexact_quantBART",0.9316,1.92584797944676,0.05
"CQR_exact_quantBART",0.9998,3.82832998191013,0.05
"CQR_naive_quantBART",0.999,3.65881267374458,0.05
"CF",0.1392,0.184635515534414,0.05
"xlearner",0.2256,0.30195571288741,0.05
"bart_naive",0.9956,3.19993405317331,0.05
"bart_inexact",0.8236,1.41184576874747,0.05
"CQR_inexact_quantRF",0.971,2.40211091738033,0.05
"CQR_exact_quantRF",0.9998,4.67837138444933,0.05
"CQR_naive_quantRF",0.9994,3.98048917732786,0.05
"CQR_inexact_quantBoosting",0.9404,2.01412545070473,0.05
"CQR_exact_quantBoosting",0.9998,4.27620549860805,0.05
"CQR_naive_quantBoosting",0.9996,4.0640614050508,0.05
"CQR_inexact_quantBART",0.8454,1.44860448607842,0.05
"CQR_exact_quantBART",0.999,3.7680313572975,0.05
"CQR_naive_quantBART",0.9994,3.9060525743068,0.05
"CF",0.152,0.202701509438966,0.05
"xlearner",0.2568,0.347922684904569,0.05
"bart_naive",0.9976,3.29024682932484,0.05
"bart_inexact",0.8536,1.52910565689938,0.05
"CQR_inexact_quantRF",0.9854,2.64443938843516,0.05
"CQR_exact_quantRF",1,4.38936140779054,0.05
"CQR_naive_quantRF",0.9998,4.09864226449731,0.05
"CQR_inexact_quantBoosting",0.9576,2.22021567238031,0.05
"CQR_exact_quantBoosting",1,4.48408682718778,0.05
"CQR_naive_quantBoosting",0.9994,4.26488644017883,0.05
"CQR_inexact_quantBART",0.9656,2.21670498828689,0.05
"CQR_exact_quantBART",0.9984,3.40989900611758,0.05
"CQR_naive_quantBART",0.9998,3.95588664591411,0.05
"CF",0.175,0.227985206918582,0.05
"xlearner",0.2574,0.356586362413799,0.05
"bart_naive",0.9956,3.20420647810264,0.05
"bart_inexact",0.823,1.46169889804846,0.05
"CQR_inexact_quantRF",0.9536,2.28537052407441,0.05
"CQR_exact_quantRF",0.9998,4.13090382752926,0.05
"CQR_naive_quantRF",1,4.64271968810924,0.05
"CQR_inexact_quantBoosting",0.8706,1.64725182707948,0.05
"CQR_exact_quantBoosting",1,4.1710412170717,0.05
"CQR_naive_quantBoosting",0.9998,4.23912583645503,0.05
"CQR_inexact_quantBART",0.9172,1.86764992803155,0.05
"CQR_exact_quantBART",0.9996,3.84441938475471,0.05
"CQR_naive_quantBART",0.9998,4.23004704750444,0.05
"CF",0.17,0.224053028378781,0.05
"xlearner",0.2568,0.338839749379266,0.05
"bart_naive",0.998,3.30473087072625,0.05
"bart_inexact",0.8656,1.56143805469302,0.05
"CQR_inexact_quantRF",0.9854,2.62046940233197,0.05
"CQR_exact_quantRF",0.9998,4.13085663517834,0.05
"CQR_naive_quantRF",0.9998,4.42963255274575,0.05
"CQR_inexact_quantBoosting",0.953,2.109694149179,0.05
"CQR_exact_quantBoosting",0.9998,4.20230051269386,0.05
"CQR_naive_quantBoosting",0.9994,3.91097313800811,0.05
"CQR_inexact_quantBART",0.9404,1.9676207182382,0.05
"CQR_exact_quantBART",0.999,3.69107513332399,0.05
"CQR_naive_quantBART",1,4.09652473175596,0.05
"CF",0.165,0.206486026385288,0.05
"xlearner",0.2682,0.344103129056229,0.05
"bart_naive",0.9956,3.22014477172093,0.05
"bart_inexact",0.858,1.51553246361341,0.05
"CQR_inexact_quantRF",0.985,2.64618587672527,0.05
"CQR_exact_quantRF",1,5.05614849164072,0.05
"CQR_naive_quantRF",0.9996,4.46989657053055,0.05
"CQR_inexact_quantBoosting",0.9618,2.24753640472363,0.05
"CQR_exact_quantBoosting",1,4.61542737084198,0.05
"CQR_naive_quantBoosting",0.9946,3.33941607249017,0.05
"CQR_inexact_quantBART",0.976,2.39587505992018,0.05
"CQR_exact_quantBART",1,4.44336443909845,0.05
"CQR_naive_quantBART",0.994,3.14561209436846,0.05
"CF",0.1718,0.20797732263299,0.05
"xlearner",0.257,0.326116812375789,0.05
"bart_naive",0.9978,3.36256329411421,0.05
"bart_inexact",0.8814,1.63954817185328,0.05
"CQR_inexact_quantRF",0.9004,1.72715172045068,0.05
"CQR_exact_quantRF",0.9998,4.00252647584086,0.05
"CQR_naive_quantRF",0.9998,4.33054485257942,0.05
"CQR_inexact_quantBoosting",0.9772,2.37401803897596,0.05
"CQR_exact_quantBoosting",0.9996,3.91839984429519,0.05
"CQR_naive_quantBoosting",0.9996,3.91313154639337,0.05
"CQR_inexact_quantBART",0.9558,2.14376464465742,0.05
"CQR_exact_quantBART",1,4.08949764578501,0.05
"CQR_naive_quantBART",0.9992,3.75005679187939,0.05
"CF",0.1472,0.186967531925932,0.05
"xlearner",0.2562,0.344363559598589,0.05
"bart_naive",0.996,3.36983942380067,0.05
"bart_inexact",0.8838,1.64054951244717,0.05
"CQR_inexact_quantRF",0.972,2.41089750778524,0.05
"CQR_exact_quantRF",1,4.64757721002403,0.05
"CQR_naive_quantRF",0.9994,4.25873164024985,0.05
"CQR_inexact_quantBoosting",0.942,2.06603947739016,0.05
"CQR_exact_quantBoosting",0.9996,3.92176929162663,0.05
"CQR_naive_quantBoosting",0.999,3.93198841017602,0.05
"CQR_inexact_quantBART",0.9178,1.8380709718781,0.05
"CQR_exact_quantBART",0.9996,3.74829250116852,0.05
"CQR_naive_quantBART",0.9992,4.19035731267165,0.05
"CF",0.1596,0.205822843427684,0.05
"xlearner",0.2656,0.338706143589747,0.05
"bart_naive",0.9982,3.34652116165408,0.05
"bart_inexact",0.8674,1.53485524165904,0.05
"CQR_inexact_quantRF",0.9928,2.96939290543398,0.05
"CQR_exact_quantRF",0.9996,4.23030845466105,0.05
"CQR_naive_quantRF",1,4.56428505353889,0.05
"CQR_inexact_quantBoosting",0.9742,2.43056225969033,0.05
"CQR_exact_quantBoosting",1,4.51671960294923,0.05
"CQR_naive_quantBoosting",1,4.57722324363466,0.05
"CQR_inexact_quantBART",0.9256,1.85836700706083,0.05
"CQR_exact_quantBART",0.9994,3.53985356858413,0.05
"CQR_naive_quantBART",0.9982,3.50600245179207,0.05
"CF",0.148,0.187165727940831,0.05
"xlearner",0.2268,0.305184507554457,0.05
"bart_naive",0.9952,3.2536953133092,0.05
"bart_inexact",0.8428,1.46820662976569,0.05
"CQR_inexact_quantRF",0.9546,2.21209121888701,0.05
"CQR_exact_quantRF",0.999,3.99743065244564,0.05
"CQR_naive_quantRF",1,4.50586080128512,0.05
"CQR_inexact_quantBoosting",0.9066,1.80125029886923,0.05
"CQR_exact_quantBoosting",1,4.79568580506609,0.05
"CQR_naive_quantBoosting",0.9998,4.0160981022967,0.05
"CQR_inexact_quantBART",0.9626,2.20473067496516,0.05
"CQR_exact_quantBART",0.9994,3.70142702033682,0.05
"CQR_naive_quantBART",0.9976,3.60806182525249,0.05
"CF",0.1644,0.222368966062804,0.05
"xlearner",0.2464,0.330235005862304,0.05
"bart_naive",0.997,3.28614412174825,0.05
"bart_inexact",0.8632,1.55351134050798,0.05
"CQR_inexact_quantRF",0.9418,1.97380805045861,0.05
"CQR_exact_quantRF",0.9996,3.68924778534672,0.05
"CQR_naive_quantRF",1,4.59050412397165,0.05
"CQR_inexact_quantBoosting",0.9738,2.35565925586482,0.05
"CQR_exact_quantBoosting",1,4.62075023417978,0.05
"CQR_naive_quantBoosting",0.999,3.49663599371382,0.05
"CQR_inexact_quantBART",0.9356,1.93636936541105,0.05
"CQR_exact_quantBART",0.9998,3.94490810949642,0.05
"CQR_naive_quantBART",0.9986,3.54571083945528,0.05
"CF",0.1566,0.196461893330416,0.05
"xlearner",0.2578,0.335205013360309,0.05
"bart_naive",0.999,3.36451612663123,0.05
"bart_inexact",0.8828,1.5976292051815,0.05
"CQR_inexact_quantRF",0.9544,2.12277719863626,0.05
"CQR_exact_quantRF",1,4.34193145059231,0.05
"CQR_naive_quantRF",1,4.98011316780213,0.05
"CQR_inexact_quantBoosting",0.9512,2.09422340291225,0.05
"CQR_exact_quantBoosting",1,4.47336972471794,0.05
"CQR_naive_quantBoosting",1,4.56494306020765,0.05
"CQR_inexact_quantBART",0.9288,1.85229737188987,0.05
"CQR_exact_quantBART",1,4.37461449759229,0.05
"CQR_naive_quantBART",1,4.11965308547357,0.05
"CF",0.1476,0.207619732317827,0.05
"xlearner",0.2428,0.336554872865299,0.05
"bart_naive",0.9966,3.34260777545165,0.05
"bart_inexact",0.8626,1.52722767907694,0.05
"CQR_inexact_quantRF",0.9912,2.96669491080785,0.05
"CQR_exact_quantRF",1,4.87695921655285,0.05
"CQR_naive_quantRF",1,4.59386805544816,0.05
"CQR_inexact_quantBoosting",0.9562,2.20144973321084,0.05
"CQR_exact_quantBoosting",1,4.49873871681006,0.05
"CQR_naive_quantBoosting",0.9974,3.61215195198676,0.05
"CQR_inexact_quantBART",0.9394,1.98525664836334,0.05
"CQR_exact_quantBART",0.9976,3.40426497074304,0.05
"CQR_naive_quantBART",0.997,4.020918432581,0.05
"CF",0.1688,0.223367595891134,0.05
"xlearner",0.2482,0.328882980447711,0.05
"bart_naive",0.997,3.43113085359125,0.05
"bart_inexact",0.8526,1.47896337468233,0.05
"CQR_inexact_quantRF",0.9746,2.32386573151636,0.05
"CQR_exact_quantRF",0.9996,4.28573579931285,0.05
"CQR_naive_quantRF",0.9996,4.1521136111325,0.05
"CQR_inexact_quantBoosting",0.9502,2.15673341540449,0.05
"CQR_exact_quantBoosting",0.9998,4.22549421957042,0.05
"CQR_naive_quantBoosting",0.9994,4.14191776061926,0.05
"CQR_inexact_quantBART",0.9524,2.02721989846178,0.05
"CQR_exact_quantBART",0.999,3.84641675284982,0.05
"CQR_naive_quantBART",0.9934,2.99988131100454,0.05
"CF",0.1618,0.202150711973034,0.05
"xlearner",0.2452,0.316368004884327,0.05
"bart_naive",0.9984,3.26901585548846,0.05
"bart_inexact",0.8682,1.53713633852367,0.05
"CQR_inexact_quantRF",0.9522,2.0518374812806,0.05
"CQR_exact_quantRF",1,4.59654802017958,0.05
"CQR_naive_quantRF",1,4.33806684753891,0.05
"CQR_inexact_quantBoosting",0.944,1.98752908305469,0.05
"CQR_exact_quantBoosting",1,5.16035878390891,0.05
"CQR_naive_quantBoosting",0.9996,3.70010612477517,0.05
"CQR_inexact_quantBART",0.932,1.86211425353425,0.05
"CQR_exact_quantBART",0.9998,3.92972809738833,0.05
"CQR_naive_quantBART",0.9994,3.62992731183191,0.05
"CF",0.159,0.197829257805942,0.05
"xlearner",0.2666,0.338259852126099,0.05
"bart_naive",0.999,3.48754546625617,0.05
"bart_inexact",0.8802,1.61496434649707,0.05
"CQR_inexact_quantRF",0.9774,2.44653608663505,0.05
"CQR_exact_quantRF",1,4.90459410284307,0.05
"CQR_naive_quantRF",0.9998,4.37886270763904,0.05
"CQR_inexact_quantBoosting",0.985,2.59923507602862,0.05
"CQR_exact_quantBoosting",1,4.70395383267806,0.05
"CQR_naive_quantBoosting",0.9994,4.00177624391635,0.05
"CQR_inexact_quantBART",0.9454,1.98705988784561,0.05
"CQR_exact_quantBART",0.9988,3.55051785683348,0.05
"CQR_naive_quantBART",0.9992,3.57111448514684,0.05
"CF",0.1312,0.178996433420767,0.05
"xlearner",0.2312,0.302674868122748,0.05
"bart_naive",0.9984,3.24960042607248,0.05
"bart_inexact",0.8546,1.54750443505462,0.05
"CQR_inexact_quantRF",0.975,2.32776094297088,0.05
"CQR_exact_quantRF",1,4.56448885394556,0.05
"CQR_naive_quantRF",1,4.4466594592544,0.05
"CQR_inexact_quantBoosting",0.9126,1.82985975283617,0.05
"CQR_exact_quantBoosting",0.9992,3.52263219361463,0.05
"CQR_naive_quantBoosting",0.9998,4.1688720275272,0.05
"CQR_inexact_quantBART",0.9432,1.99449834723674,0.05
"CQR_exact_quantBART",1,3.72136581769278,0.05
"CQR_naive_quantBART",0.9992,3.72629193149595,0.05
"CF",0.1836,0.238129777975518,0.05
"xlearner",0.261,0.357354725873705,0.05
"bart_naive",0.9982,3.45869359620559,0.05
"bart_inexact",0.8738,1.64515162279358,0.05
"CQR_inexact_quantRF",0.9646,2.37397759864481,0.05
"CQR_exact_quantRF",1,4.77044432634532,0.05
"CQR_naive_quantRF",0.9994,4.17314385643081,0.05
"CQR_inexact_quantBoosting",0.985,2.79335677080574,0.05
"CQR_exact_quantBoosting",0.9998,4.08414681499184,0.05
"CQR_naive_quantBoosting",0.9998,4.5233939365712,0.05
"CQR_inexact_quantBART",0.9016,1.76501396860296,0.05
"CQR_exact_quantBART",1,4.99312862500324,0.05
"CQR_naive_quantBART",1,4.68766146313576,0.05
"CF",0.169,0.21845079698709,0.05
"xlearner",0.2416,0.312248959973796,0.05
"bart_naive",0.995,3.24774047662292,0.05
"bart_inexact",0.8268,1.42952192478927,0.05
"CQR_inexact_quantRF",0.977,2.51846639359774,0.05
"CQR_exact_quantRF",0.9994,4.03402464515396,0.05
"CQR_naive_quantRF",0.9984,3.80684483114318,0.05
"CQR_inexact_quantBoosting",0.9252,1.89922647401859,0.05
"CQR_exact_quantBoosting",0.9994,4.08152544122239,0.05
"CQR_naive_quantBoosting",0.9962,3.61777837044466,0.05
"CQR_inexact_quantBART",0.9312,1.88549944679613,0.05
"CQR_exact_quantBART",0.9984,3.59653329813941,0.05
"CQR_naive_quantBART",0.9974,3.69674278923518,0.05
"CF",0.188,0.248861073027827,0.05
"xlearner",0.2636,0.351011498652486,0.05
"bart_naive",0.9972,3.35443797773464,0.05
"bart_inexact",0.8296,1.47745239147655,0.05
"CQR_inexact_quantRF",0.9654,2.31464318809598,0.05
"CQR_exact_quantRF",0.9998,5.09383970612426,0.05
"CQR_naive_quantRF",0.9998,5.12143234398578,0.05
"CQR_inexact_quantBoosting",0.9718,2.44536133551023,0.05
"CQR_exact_quantBoosting",0.9998,4.77864146550976,0.05
"CQR_naive_quantBoosting",0.9998,4.11418196007217,0.05
"CQR_inexact_quantBART",0.9636,2.3127709388811,0.05
"CQR_exact_quantBART",0.9998,4.32687362264462,0.05
"CQR_naive_quantBART",0.9998,4.29732028518351,0.05
"CF",0.179,0.22036047342915,0.05
"xlearner",0.2458,0.316227587357514,0.05
"bart_naive",0.9982,3.24739715027472,0.05
"bart_inexact",0.8476,1.47599985260482,0.05
"CQR_inexact_quantRF",0.961,2.16328621062892,0.05
"CQR_exact_quantRF",1,4.03406080486508,0.05
