method,cr_py,len_py,alpha_py,cr_r,len_r,alpha_r,cr_diff,len_diff
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.976,2.41562291753251,0.05,-0.11140563949571747,0.4407810811125912
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.955,2.20863616953747,0.05,-0.09040563949571745,0.647767829107631
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9556,2.12456480179472,0.05,-0.0910056394957175,0.7318391968503812
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.955,2.22517767944143,0.05,-0.09040563949571745,0.6312263192036709
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9836,2.67154354433533,0.05,-0.11900563949571752,0.18486045430977116
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9606,2.14907707128578,0.05,-0.0960056394957175,0.707326927359321
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9642,2.30558678190551,0.05,-0.09960563949571744,0.550817216739591
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9404,2.01412545070473,0.05,-0.0758056394957175,0.8422785479403712
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9576,2.22021567238031,0.05,-0.0930056394957175,0.6361883262647909
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.8706,1.64725182707948,0.05,-0.00600563949571753,1.209152171565621
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.953,2.109694149179,0.05,-0.08840563949571745,0.7467098494661011
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9618,2.24753640472363,0.05,-0.09720563949571748,0.6088675939214712
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9772,2.37401803897596,0.05,-0.11260563949571745,0.4823859596691409
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.942,2.06603947739016,0.05,-0.07740563949571744,0.7903645212549413
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9742,2.43056225969033,0.05,-0.10960563949571744,0.4258417389547713
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9066,1.80125029886923,0.05,-0.04200563949571745,1.055153699775871
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9738,2.35565925586482,0.05,-0.10920563949571749,0.5007447427802809
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9512,2.09422340291225,0.05,-0.08660563949571753,0.7621805957328509
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9562,2.20144973321084,0.05,-0.09160563949571754,0.6549542654342613
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9502,2.15673341540449,0.05,-0.08560563949571753,0.6996705832406112
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.944,1.98752908305469,0.05,-0.07940563949571744,0.8688749155904112
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.985,2.59923507602862,0.05,-0.12040563949571748,0.25716892261648105
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9126,1.82985975283617,0.05,-0.048005639495717456,1.026544245808931
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.985,2.79335677080574,0.05,-0.12040563949571748,0.06304722783936123
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9252,1.89922647401859,0.05,-0.06060563949571751,0.9571775246265111
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9718,2.44536133551023,0.05,-0.10720563949571749,0.41104266313487114
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9338,1.93350636143364,0.05,-0.06920563949571745,0.922897637211461
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9796,2.4596294897857,0.05,-0.11500563949571752,0.396774508859401
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9894,2.86941472302543,0.05,-0.12480563949571744,-0.01301072438032902
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9888,2.85007318987472,0.05,-0.1242056394957175,0.006330808770381058
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9608,2.2803949240433,0.05,-0.09620563949571748,0.5760090746018012
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9316,1.99770876510766,0.05,-0.06700563949571747,0.8586952335374411
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.915,1.81865300109082,0.05,-0.050405639495717525,1.0377509975542811
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9028,1.75975314160705,0.05,-0.038205639495717536,1.096650857038051
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9584,2.21167755486484,0.05,-0.09380563949571752,0.6447264437802609
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9718,2.29638771661859,0.05,-0.10720563949571749,0.5600162820265111
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9658,2.31643007424275,0.05,-0.10120563949571748,0.5399739244023509
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9066,1.79122145351453,0.05,-0.04200563949571745,1.065182545130571
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9372,1.98897060359883,0.05,-0.07260563949571752,0.8674333950462711
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9216,1.83054571190872,0.05,-0.057005639495717464,1.025858286736381
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9512,2.0876698054756,0.05,-0.08660563949571753,0.7687341931695011
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.8932,1.65001185093789,0.05,-0.028605639495717483,1.206392147707211
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9548,2.24296038358603,0.05,-0.09020563949571747,0.613443615059071
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.979,2.51130356361725,0.05,-0.11440563949571747,0.34510043502785104
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9716,2.35304635866135,0.05,-0.10700563949571751,0.5033576399837512
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.94,2.16594281468441,0.05,-0.07540563949571744,0.6904611839606911
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.906,1.83474771276063,0.05,-0.04140563949571752,1.021656285884471
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.981,2.52409262863783,0.05,-0.11640563949571747,0.3323113700072713
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9546,2.19390743322944,0.05,-0.0900056394957175,0.6624965654156609
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9742,2.43117813607163,0.05,-0.10960563949571744,0.42522586257347106
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9798,2.49387129885437,0.05,-0.1152056394957175,0.362532699790731
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.8992,1.70265702417086,0.05,-0.03460563949571749,1.153746974474241
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9458,2.02941991112972,0.05,-0.08120563949571746,0.8269840875153811
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9638,2.24667241252175,0.05,-0.09920563949571748,0.6097315861233512
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9336,1.94879160128516,0.05,-0.06900563949571747,0.907612397359941
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9466,2.02204072093552,0.05,-0.08200563949571749,0.8343632777095813
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9942,3.03772993983367,0.05,-0.12960563949571746,-0.18132594118856904
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9082,1.74218638887328,0.05,-0.043605639495717496,1.114217609771821
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9394,1.99359421470553,0.05,-0.0748056394957175,0.862809783939571
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9692,2.28582945549161,0.05,-0.10460563949571744,0.5705745431534912
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9442,2.00012285505573,0.05,-0.07960563949571753,0.8562811435893711
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9792,2.51452367865392,0.05,-0.11460563949571745,0.3418803199911813
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9706,2.35218488670823,0.05,-0.10600563949571751,0.5042191119368713
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9718,2.39244202812267,0.05,-0.10720563949571749,0.46396197052243116
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9478,2.0810096099633,0.05,-0.08320563949571746,0.7753943886818009
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9846,2.56349378282076,0.05,-0.12000563949571752,0.29291021582434107
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9464,2.02859689918591,0.05,-0.08180563949571751,0.8278070994591911
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9722,2.3928348066751,0.05,-0.10760563949571744,0.4635691919700009
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9196,1.85047781783987,0.05,-0.05500563949571746,1.005926180805231
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9428,2.02407928052506,0.05,-0.07820563949571746,0.832324718120041
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9314,2.02527293811596,0.05,-0.0668056394957175,0.8311310605291409
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9404,1.96233452439107,0.05,-0.0758056394957175,0.8940694742540312
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9548,2.20472822758456,0.05,-0.09020563949571747,0.6516757710605412
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.928,1.92935526264496,0.05,-0.06340563949571754,0.9270487360001411
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9606,2.20902672565477,0.05,-0.0960056394957175,0.6473772729903309
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9794,2.51887051500981,0.05,-0.11480563949571754,0.337533483635291
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9126,1.73476442749212,0.05,-0.048005639495717456,1.1216395711529812
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9626,2.21573196875639,0.05,-0.0980056394957175,0.640672029888711
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9644,2.28834907910571,0.05,-0.09980563949571752,0.5680549195393909
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9522,2.17734118363411,0.05,-0.08760563949571754,0.6790628150109912
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9532,2.13111840258564,0.05,-0.08860563949571754,0.7252855960594613
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9654,2.31418873221563,0.05,-0.10080563949571753,0.542215266429471
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.9804,2.53608397869952,0.05,-0.11580563949571754,0.3203200199455809
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,0.995,3.02542213930457,0.05,-0.13040563949571748,-0.16901814065946885
cqr_inexact_quantboosting,0.8645943605042825,2.856403998645101,0.1,1.0,4.62774951424675,0.05,-0.1354056394957175,-1.7713455156016487
